"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 28 17:38:35 CST 2024","Fri Jun 28 17:38:41 CST 2024","6610","TestCase","test_case_nvwa","","","","打开并进入女娲首页","
        01 打开女娲登陆界面
        02 输入账号密码登陆
        03 创建新标签列表
    "
"broken","Fri Jun 28 17:38:41 CST 2024","Fri Jun 28 17:38:41 CST 2024","51","TestCase","test_case_nvwa","","","","新建人群",""
"skipped","Fri Jun 28 17:38:41 CST 2024","Fri Jun 28 17:38:41 CST 2024","0","TestCase","test_case_nvwa","","","","新建标签列表",""
"skipped","Fri Jun 28 17:38:41 CST 2024","Fri Jun 28 17:38:41 CST 2024","0","TestCase","test_case_nvwa","","","","新建基础标签",""
